City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
304,stephenville,32.2207,-98.2023,18.47,45,0,3.6,US,1713735569
305,douglas,41.3,-96.167,17.75,24,0,4.63,US,1713735589
306,urengoy,65.9667,78.3667,-16.08,96,100,4.55,RU,1713735589
307,orsa,54.5153,30.4053,8.75,98,100,4.93,BY,1713735589
308,san luis de la loma,17.2706,-100.8939,29.31,50,0,4.3,MX,1713735590
309,walvis bay,-22.9575,14.5053,15.53,82,1,1.54,NA,1713735590
310,manacapuru,-3.2997,-60.6206,24.11,95,100,3.61,BR,1713735590
311,mccook,40.2019,-100.6257,16.25,32,0,4.12,US,1713735590
312,sao vicente,-23.9631,-46.3919,26.82,54,75,1.54,BR,1713735294
313,bullsbrook,-31.6667,116.0,17.07,78,54,2.23,AU,1713735590
314,international falls,48.6011,-93.411,14.1,31,0,4.12,US,1713735590
315,new norfolk,-42.7826,147.0587,10.72,90,22,1.31,AU,1713735591
316,northam,51.0333,-4.2167,7.56,84,98,2.02,GB,1713735592
317,hammerfest,70.6634,23.6821,-2.75,63,0,3.09,NO,1713735593
318,la foa,-21.7108,165.8276,23.48,89,100,1.01,NC,1713735593
319,pyapon,16.2833,95.6833,26.57,81,61,3.44,MM,1713735593
320,basco,20.4487,121.9702,28.29,74,17,10.71,PH,1713735594
321,rambha,19.5167,85.1,29.92,48,100,1.16,IN,1713735594
322,mudkhed,19.1667,77.5167,30.99,45,77,0.59,IN,1713735594
323,belonia,23.2528,91.4514,27.15,92,63,3.08,IN,1713735595
324,juan griego,11.0817,-63.9655,27.82,76,95,5.72,VE,1713735595
325,bengkulu,-3.8004,102.2655,24.85,91,98,1.62,ID,1713735595
326,luderitz,-26.6481,15.1594,18.1,67,40,3.31,NA,1713735125
327,argo,37.6333,22.7333,12.65,77,91,2.28,GR,1713735596
328,mianwali,32.5741,71.5264,22.61,49,2,2.28,PK,1713735596
329,igarka,67.4667,86.5833,-14.43,96,100,1.34,RU,1713735518
330,praia da vitoria,38.7333,-27.0667,17.14,88,75,0.35,PT,1713735596
331,holma,9.9008,13.0567,30.58,34,74,2.15,NG,1713735597
332,tallkalakh,34.6684,36.2599,13.58,90,19,1.85,SY,1713735597
333,porvoo,60.3923,25.6651,0.5,79,95,4.96,FI,1713735597
334,dod ballapur,13.2919,77.5431,26.91,48,53,2.94,IN,1713735597
335,coquimbo,-29.9533,-71.3436,18.85,72,40,3.6,CL,1713735482
336,quellon,-43.1167,-73.6167,7.71,80,100,4.53,CL,1713735598
337,isafjordur,66.0755,-23.124,1.6,81,14,5.31,IS,1713735394
338,grantsville,40.5999,-112.4644,24.82,25,0,4.12,US,1713735599
339,malvik,63.4333,10.6833,2.5,63,0,2.57,NO,1713735599
340,show low,34.2542,-110.0298,23.89,18,75,0.45,US,1713735599
341,waupaca,44.358,-89.086,14.93,31,40,5.14,US,1713735509
342,kidal,18.4411,1.4078,32.28,8,2,4.34,ML,1713735155
343,newburyport,42.8126,-70.8773,10.79,44,100,2.24,US,1713735606
344,san juan,-31.5375,-68.5364,19.33,53,77,3.9,AR,1713735307
345,mhamid,29.82,-5.72,19.22,39,63,9.93,MA,1713735608
346,zelenogorskiy,55.0333,87.0,5.86,90,100,4.97,RU,1713735611
347,necochea,-38.5473,-58.7368,13.21,51,98,4.0,AR,1713735618
348,prachuap khiri khan,12.2167,99.75,23.27,93,100,1.36,TH,1713735618
349,naze,28.3667,129.4833,21.51,94,100,2.39,JP,1713735618
350,loppi,60.7167,24.45,-1.81,84,94,4.08,FI,1713735619
351,orange walk,17.8333,-88.8333,34.19,40,0,4.44,BZ,1713735622
352,bechem,7.0903,-2.025,23.25,97,100,0.68,GH,1713735622
353,marang,5.2056,103.2059,26.95,87,100,1.14,MY,1713735622
354,kencong,-8.2833,113.3667,24.43,92,100,1.05,ID,1713735625
355,el hadjira,32.6134,5.5126,18.71,44,84,7.44,DZ,1713735632
356,ortigueira,-24.2083,-50.9494,18.46,85,3,0.65,BR,1713735634
357,antofagasta,-23.65,-70.4,21.6,80,10,2.85,CL,1713735144
358,horta,38.5333,-28.6333,15.01,75,100,2.68,PT,1713735635
359,mirny,62.5353,113.9611,-0.43,99,100,4.02,RU,1713735636
360,amahai,-3.3333,128.9167,26.52,84,86,1.1,ID,1713735636
361,vinaros,40.4703,0.4756,13.09,80,4,4.17,ES,1713735637
362,longmen,24.9597,118.0889,23.34,84,70,1.48,CN,1713735637
363,tazacorte,28.629,-17.9293,19.54,79,100,4.12,ES,1713735635
